SubmissionNumber,FacilityID,FacilityName,Media,Chemical,Score,ScoreCategory,PoundsReleased,PoundsPT,Population,SubmissionYear
4392365.0,20794LTSPC7151M,ELITE SPICE INC.,2.0,Ethylene oxide,75004.0,4.0,34.4,34.4,5499575.20594,2017.0
4483174.0,20794LTSPC7151M,ELITE SPICE INC.,2.0,Ethylene oxide,72140.5,4.0,32.8,32.8,5544292.95301,2018.0
4562424.0,20794LTSPC7151M,ELITE SPICE INC.,2.0,Ethylene oxide,90513.2,4.0,40.8,40.8,5589010.69674,2019.0
4637878.0,20794LTSPC7151M,ELITE SPICE INC.,2.0,Ethylene oxide,91738.2,4.0,41.0,41.0,5633728.44231,2020.0
4721278.0,20794LTSPC7151M,ELITE SPICE INC.,2.0,Ethylene oxide,97037.0,4.0,43.0,43.0,5678722.27256,2021.0
4831381.0,20794LTSPC7151M,ELITE SPICE INC.,2.0,Ethylene oxide,89448.7,4.0,39.3,39.3,5724336.75461,2022.0
4831381.0,20794LTSPC7151M,ELITE SPICE INC.,1.0,Ethylene oxide,234059.0,2.0,51.2,51.2,5724336.75461,2022.0
4417798.0,29440WNYHG661ST,WINYAH GENERATING STATION,2.0,Mercury compounds,0.035633,4.0,7.3,7.3,133827.0,2017.0
4417799.0,29440WNYHG661ST,WINYAH GENERATING STATION,2.0,Polycyclic aromatic compounds,0.084729,4.0,0.8,0.8,133827.0,2017.0
4541299.0,29440WNYHG661ST,WINYAH GENERATING STATION,2.0,Mercury compounds,0.0501023,4.0,10.2,10.2,135495.0,2018.0
4541304.0,29440WNYHG661ST,WINYAH GENERATING STATION,2.0,Polycyclic aromatic compounds,0.0956432,4.0,0.9,0.9,135495.0,2018.0
4615618.0,29440WNYHG661ST,WINYAH GENERATING STATION,2.0,Mercury compounds,0.0474504,4.0,9.6,9.6,137163.0,2019.0
4664436.0,29440WNYHG661ST,WINYAH GENERATING STATION,2.0,Mercury compounds,0.0606769,4.0,12.2,12.2,138831.0,2020.0
4757295.0,29440WNYHG661ST,WINYAH GENERATING STATION,2.0,Mercury compounds,0.0767163,4.0,15.3,15.3,140791.0,2021.0
4831734.0,29440WNYHG661ST,WINYAH GENERATING STATION,2.0,Mercury compounds,0.0900633,4.0,17.8,17.8,142897.0,2022.0
4831736.0,29440WNYHG661ST,WINYAH GENERATING STATION,2.0,Polycyclic aromatic compounds,0.173212,4.0,1.6,1.6,142897.0,2022.0
4831736.0,29440WNYHG661ST,WINYAH GENERATING STATION,1.0,Polycyclic aromatic compounds,1403.29,2.0,586.0,586.0,142897.0,2022.0
4400957.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,2.0,"1,2,4-Trimethylbenzene",0.130109,4.0,740.0,740.0,390655.0,2017.0
4400957.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,1.0,"1,2,4-Trimethylbenzene",0.563307,2.0,700.0,700.0,390655.0,2017.0
4400962.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,2.0,Benzene,1121.8,4.0,11000.0,11000.0,390655.0,2017.0
4400962.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,1.0,Benzene,14361.6,2.0,27000.0,27000.0,390655.0,2017.0
4400983.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,2.0,Mercury compounds,0.784241,4.0,17.8,17.8,390655.0,2017.0
4400983.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,1.0,Mercury compounds,0.0232141,2.0,0.1,0.1,390655.0,2017.0
4400993.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,2.0,Polycyclic aromatic compounds,7.60052,4.0,9.1,9.1,390655.0,2017.0
4400993.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,1.0,Polycyclic aromatic compounds,176.282,2.0,51.0,51.0,390655.0,2017.0
4494832.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,2.0,"1,2,4-Trimethylbenzene",0.128153,4.0,730.0,730.0,392422.0,2018.0
4494832.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,1.0,"1,2,4-Trimethylbenzene",0.561613,2.0,700.0,700.0,392422.0,2018.0
4494837.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,1.0,Benzene,14321.3,2.0,27000.0,27000.0,392422.0,2018.0
4494837.0,39567CHVRNPOBOX,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,2.0,Benzene,1019.09,4.0,10000.0,10000.0,392422.0,2018.0
